actual,proposed
0.14984267950057983,0.13468609750270844
0.14770986139774323,0.13262920081615448
0.14567187428474426,0.13271117210388184
0.1480841338634491,0.1327434778213501
0.13744661211967468,0.12705841660499573
0.12265827506780624,0.11871420592069626
0.09820716083049774,0.10465417057275772
0.08410287648439407,0.09671315550804138
0.07022862136363983,0.08855962008237839
0.043496787548065186,0.0734683945775032
0.025873618200421333,0.063484787940979
0.012862449511885643,0.056142378598451614
0.0,0.04642530158162117
0.0,0.04177943989634514
0.0,0.03476886823773384
0.0,0.025434913113713264
0.0,0.01874607801437378
0.0,0.014250756241381168
0.0,0.005227976944297552
0.0,0.0012403159635141492
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05711790919303894,0.0
0.06836885213851929,0.0
0.07515062391757965,0.0
0.08188779652118683,0.0
0.08858257532119751,0.0
0.09523817896842957,0.10080113261938095
0.10621563345193863,0.1074083223938942
0.12145646661520004,0.11582408100366592
0.12782889604568481,0.11889497935771942
0.1341785043478012,0.12235350161790848
0.13614873588085175,0.12386666983366013
0.13380125164985657,0.12058533728122711
0.13155430555343628,0.12200815230607986
0.13376307487487793,0.12080469727516174
0.12728634476661682,0.11817906051874161
0.1253211796283722,0.11709143221378326
0.12344185262918472,0.11566516757011414
0.12164505571126938,0.11428826302289963
0.12428665906190872,0.11564167588949203
0.11822612583637238,0.11222516000270844
0.11230210214853287,0.10888122767210007
0.10650929063558578,0.10510244220495224
0.1008414775133133,0.10161134600639343
0.09093475341796875,0.09672942012548447
0.08556254208087921,0.09331183135509491
0.07593914121389389,0.08773530274629593
0.0664786696434021,0.08231191337108612
0.06153339892625809,0.07954218238592148
0.05667704716324806,0.07668809592723846
0.04754673317074776,0.07150696963071823
0.04291759058833122,0.06874412298202515
0.03836313262581825,0.06629657000303268
0.03388042375445366,0.06368184089660645
0.029466282576322556,0.0611860565841198
0.016399947926402092,0.0537608303129673
0.003516565542668104,0.04661155864596367
0.0,0.041712138801813126
0.0,0.02986101433634758
0.0,0.01806505210697651
0.0,0.013613871298730373
0.0,0.012278152629733086
0.0,0.01234377734363079
0.0,0.00464322604238987
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.033604901283979416,0.0
0.0411984920501709,0.0
0.04435552656650543,0.0
0.05185791477560997,0.0
0.05928792804479599,0.0
0.06664884090423584,0.0
0.06958475708961487,0.0
0.0812373012304306,0.0
0.08404967933893204,0.0
0.0825076699256897,0.0
0.08538999408483505,0.0
0.08827470242977142,0.0
0.08680310845375061,0.0
0.08975360542535782,0.0
0.08834606409072876,0.0
0.09007184952497482,0.0
0.10621725022792816,0.10501272231340408
0.10910096764564514,0.10761107504367828
0.10763177275657654,0.10591626912355423
0.10622891038656235,0.10491407662630081
0.10924886912107468,0.10685928165912628
0.11226977407932281,0.10788611322641373
0.11093297600746155,0.10739161819219589
0.10529924184083939,0.10430114716291428
0.10414464771747589,0.10316222161054611
0.09432701766490936,0.09763563424348831
0.08468235284090042,0.09219375252723694
0.07520350813865662,0.08686546981334686
0.07024227827787399,0.08384247869253159
0.06537266075611115,0.08103057742118835
0.06494900584220886,0.0807732567191124
0.06454848498106003,0.0805111825466156
0.0554521419107914,0.07527755200862885
0.042138926684856415,0.06772670149803162
0.033381350338459015,0.06275488436222076
0.01188170351088047,0.05050176382064819
0.007907581515610218,0.048320624977350235
0.0,0.041319891810417175
0.0,0.0390927791595459
0.0,0.03455573320388794
0.0,0.03002595156431198
0.0,0.02818435989320278
0.0,0.02387595735490322
0.0,0.02434857003390789
0.0,0.019813677296042442
0.0,0.013181791640818119
0.0,0.011427854187786579
0.0,0.0048811109736561775
0.0,0.0004452200373634696
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
